Sample no.,X,Y
1,102.96,108.19
2,102.96,108.19
3,102.16,107.32
4,102.96,108.19
5,102.16,107.32
6,102.16,106.45
7,102.16,106.45
8,102.16,106.45
9,101.36,106.45
10,101.36,106.45
11,101.36,106.45
12,101.36,106.45
13,101.36,106.45
14,100.56,106.45
15,100.56,106.45
16,100.56,106.45
17,100.56,106.45
18,100.56,107.33
19,100.56,107.33
20,100.56,107.33
21,100.56,107.33
22,100.56,107.33
23,100.56,107.33
24,99.76,108.2
25,99.76,108.2
26,99.76,108.2
27,99.76,109.07
28,98.16,109.95
29,97.36,110.82
30,95.76,111.7
31,94.96,112.58
32,93.36,113.46
33,92.55,114.34
34,90.95,115.22
35,89.34,116.98
36,88.54,117.85
37,86.92,119.61
38,86.11,121.36
39,84.5,122.25
40,82.89,124.01
41,82.08,124.02
42,79.65,125.79
43,78.84,127.54
44,77.21,129.31
45,75.58,131.07
46,75.58,131.07
47,75.58,131.07
48,75.58,131.07
49,76.4,130.19
50,75.59,130.2
51,76.41,129.32
52,75.6,129.34
53,76.41,129.32
54,75.6,129.34
55,76.41,129.32
56,76.41,129.32
57,76.41,129.32
58,76.41,128.45
59,76.41,129.32
60,76.41,129.32
61,76.41,129.32
62,76.41,129.32
63,76.41,129.32
64,76.41,129.32
65,76.41,129.32
66,76.41,128.45
67,76.41,129.32
68,76.41,129.32
69,77.22,128.44
70,77.22,128.44
71,76.41,129.32
72,74.78,131.09
73,74.78,131.09
74,74.77,131.96
75,73.95,132.84
76,73.94,133.71
77,73.12,134.59
78,70.64,138.97
79,70.64,138.97
80,70.64,138.97
81,69.82,139.86
82,70.61,140.7
83,69.77,142.45
84,70.58,142.43
85,69.76,143.31
86,69.73,145.03
87,69.73,145.03
88,69.71,145.89
89,69.7,146.75
90,68.87,147.63
91,68.85,148.49
92,68.02,149.37
93,67.19,150.25
94,66.32,152.85
95,65.46,154.59
96,64.58,157.17
97,62.87,159.78
98,61.19,161.54
99,61.13,163.24
100,60.26,164.97
101,59.38,166.69
102,59.35,167.54
103,59.29,169.23
104,58.43,170.1
105,58.4,170.94
106,57.55,171.82
107,57.51,172.66
108,56.69,172.69
109,55.83,173.57
110,55.83,173.57
111,55.83,173.57
112,55.87,172.73
113,55.87,172.73
114,56.69,172.69
115,56.69,172.69
116,57.51,172.66
117,57.51,172.66
118,58.34,172.63
119,59.16,172.59
120,59.99,172.56
121,61.64,172.5
122,62.49,171.62
123,64.17,170.72
124,64.99,170.7
125,65.85,169.83
126,67.52,168.93
127,68.39,167.22
128,69.24,166.35
129,70.09,165.48
130,70.13,163.79
131,70.17,162.1
132,70.22,160.4
133,70.24,159.55
134,70.28,157.85
135,69.5,156.17
136,68.7,155.34
137,68.74,153.63
138,67.93,153.66
139,67.95,152.8
140,67.95,152.8
141,67.95,152.8
142,67.95,152.8
143,67.97,151.95
144,67.97,151.95
145,67.98,151.09
146,68,150.23
147,68.02,149.37
148,68.85,148.49
149,68.85,148.49
150,69.7,146.75
151,69.71,145.89
152,69.73,145.03
153,69.74,144.17
154,69.77,142.45
155,69.79,141.58
156,69.8,140.72
157,69.82,139.86
158,69.83,138.99
159,69.84,138.13
160,69.86,137.26
161,70.68,136.38
162,70.7,134.64
163,72.36,131.14
164,73.18,129.38
165,74.01,126.76
166,74.84,123.26
167,77.29,116.25
168,79.71,112.72
169,80.52,110.09
170,81.32,108.33
171,82.92,104.82
172,82.92,103.95
173,83.72,100.44
174,84.51,97.81
175,86.1,94.3
176,87.69,91.67
177,89.27,88.17
178,90.05,85.55
179,90.84,82.93
180,91.61,79.44
181,92.39,76.82
182,93.18,75.08
183,93.97,74.21
184,94.76,73.34
185,94.76,72.47
186,94.76,72.47
187,95.56,72.47
188,95.56,72.47
189,95.56,72.47
190,96.35,71.6
191,96.35,71.6
192,97.16,71.6
193,97.96,71.6
194,98.75,70.74
195,99.55,69.87
196,100.34,69
197,101.14,68.14
198,101.93,67.27
199,102.73,66.4
200,103.53,66.41
201,104.33,65.54
202,104.33,65.54
203,105.14,66.41
